
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (00:16:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (00:17:50) | ===> btop++ v.1.3.0
2024/08/23 (00:17:50) | INFO: Logger set to INFO
2024/08/23 (00:17:50) | INFO: Running on /dev/pts/1
2024/08/23 (00:17:50) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (00:17:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (00:17:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (00:18:05) | ===> btop++ v.1.3.0
2024/08/23 (00:18:05) | INFO: Logger set to INFO
2024/08/23 (00:18:05) | INFO: Running on /dev/pts/1
2024/08/23 (00:18:05) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (00:18:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (00:18:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (00:18:38) | ===> btop++ v.1.3.2
2024/08/23 (00:18:38) | INFO: Logger set to INFO
2024/08/23 (00:18:38) | INFO: Running on /dev/pts/1
2024/08/23 (00:18:38) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (00:18:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (00:18:38) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:06:17) | INFO: Quitting! Runtime: 00:47:39

2024/08/23 (01:17:56) | ===> btop++ v.1.3.2
2024/08/23 (01:17:56) | INFO: Logger set to INFO
2024/08/23 (01:17:56) | INFO: Running on /dev/pts/0
2024/08/23 (01:17:56) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (01:17:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (01:17:56) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:18:45) | INFO: Quitting! Runtime: 00:00:49

2024/08/23 (01:24:55) | ===> btop++ v.1.3.2
2024/08/23 (01:24:55) | INFO: Logger set to INFO
2024/08/23 (01:24:55) | INFO: Running on /dev/pts/0
2024/08/23 (01:24:55) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (01:24:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (01:24:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:30:24) | INFO: Quitting! Runtime: 00:05:29

2024/08/23 (01:35:51) | ===> btop++ v.1.3.2
2024/08/23 (01:35:51) | INFO: Logger set to INFO
2024/08/23 (01:35:51) | INFO: Running on /dev/pts/0
2024/08/23 (01:35:51) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (01:35:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (01:35:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:37:02) | INFO: Quitting! Runtime: 00:01:11

2024/08/23 (01:38:29) | ===> btop++ v.1.3.2
2024/08/23 (01:38:29) | INFO: Logger set to INFO
2024/08/23 (01:38:29) | INFO: Running on /dev/pts/0
2024/08/23 (01:38:29) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (01:38:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (01:38:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (01:39:34) | INFO: Quitting! Runtime: 00:01:05

2024/08/23 (02:04:06) | ===> btop++ v.1.3.2
2024/08/23 (02:04:06) | INFO: Logger set to INFO
2024/08/23 (02:04:06) | INFO: Running on /dev/pts/0
2024/08/23 (02:04:06) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (02:04:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (02:04:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (02:13:33) | INFO: Quitting! Runtime: 00:09:27

2024/08/23 (02:14:40) | ===> btop++ v.1.3.2
2024/08/23 (02:14:40) | INFO: Logger set to INFO
2024/08/23 (02:14:40) | INFO: Running on /dev/pts/1
2024/08/23 (02:14:40) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (02:14:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (02:14:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
